@relation intel

@attribute id numeric
@attribute scenario numeric
@attribute who {a,b,c,d,e,f,g}
@attribute what {a,b,c,d,e,f,g,h,i,k,l,n,o,p,q,s,t,u,v,w,x,y,z,zb}
@attribute persistence {once,continuous}
@attribute reason {a,b,c,d,e,f}
@attribute where {a,b,c,d}
@attribute notify {yes,no}
@attribute nalways {once,always,blank}
@attribute notify_combined {notify_me_always,notify_me_once,do_not_notify_me}
@attribute five.one {notify_me_always,other_two}
@attribute allow {yes,no}
@attribute aalways {always,once}
@attribute allow_combined {yesalways,yesonce,noalways,noonce}
@attribute seven.one {yesalways,others}
@attribute score_allow numeric
@attribute comfort numeric
@attribute risk numeric
@attribute approp numeric
@attribute cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
19,18510,c,i,once,f,a,yes,always,notify_me_always,notify_me_always,yes,once,yesonce,others,2,5,5,5,cluster2
19,18520,d,d,continuous,a,a,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,6,6,cluster2
19,18530,b,v,once,f,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,5,2,cluster2
19,18540,f,z,once,d,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,1,cluster2
19,18550,e,y,continuous,c,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,2,cluster2
19,18560,c,w,continuous,a,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,4,1,cluster2
19,18570,b,h,continuous,f,d,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,6,6,6,cluster2
19,18580,a,g,once,e,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster2
19,18590,f,l,continuous,c,c,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,4,5,6,cluster2
19,18600,g,a,once,d,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster2
19,18610,e,k,once,b,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster2
19,18620,g,p,continuous,e,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,2,cluster2
20,18210,c,u,continuous,a,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,4,3,cluster3
20,18220,a,s,continuous,f,b,yes,always,notify_me_always,notify_me_always,yes,once,yesonce,others,2,4,4,4,cluster3
20,18230,c,g,once,f,c,no,blank,do_not_notify_me,other_two,yes,once,yesonce,others,2,4,3,4,cluster3
20,18240,e,i,once,b,d,no,blank,do_not_notify_me,other_two,yes,once,yesonce,others,2,6,6,6,cluster3
20,18250,f,x,once,d,b,no,blank,do_not_notify_me,other_two,yes,once,yesonce,others,2,6,6,7,cluster3
20,18260,g,k,once,d,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,2,cluster3
20,18270,d,h,continuous,a,c,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,4,4,4,cluster3
20,18280,d,v,once,b,d,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,4,6,6,cluster3
20,18290,e,w,continuous,c,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster3
